nombreEscuela,seccionEscuela,orientacionSeccion,matriculaSeccion
Colegio Nº 01 DE 03 Bernardino Rivadavia,5°1° TM,Cs. Naturales,28
Colegio Nº 01 DE 03 Bernardino Rivadavia,5°1° TT,Cs. Soc y Humanidades,21
Colegio Nº 01 DE 03 Bernardino Rivadavia,5°2° TM,Cs. Soc y Humanidades,30
Colegio Nº 01 DE 03 Bernardino Rivadavia,5°2° TT,Cs. Soc y Humanidades,20
Colegio Nº 01 DE 03 Bernardino Rivadavia,5°3° TM,Cs. Naturales,30
Colegio Nº 01 DE 03 Bernardino Rivadavia,5°3° TT,Cs. Naturales,15
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°1° TM,Informática,22
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°1° TT,Cs. Naturales,34
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°1° TV/TN,Turismo,
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°2° TM,Cs. Naturales,17
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°2° TT,Economía y Administración,18
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°2° TV/TN,Turismo,
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°3° TM,Cs. Naturales,22
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°4° TM,Economía y Administración,21
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°5° TM,Economía y Administración,15
Colegio Nº 02 DE 01 Domingo Faustino Sarmiento,5°5° TV/TN,Turismo,
Colegio Nº 03 DE 02 Mariano Moreno,5°1° TM,Cs. Naturales,24
Colegio Nº 03 DE 02 Mariano Moreno,5°2° TM,Matemática y Física,25
Colegio Nº 03 DE 02 Mariano Moreno,5°3° TM,Literatura,22
Colegio Nº 03 DE 02 Mariano Moreno,5°4° TM,Cs. Soc y Humanidades,26
Colegio Nº 03 DE 02 Mariano Moreno,5°6° TT,Cs. Naturales,26
Colegio Nº 03 DE 02 Mariano Moreno,5°7° TT,Matemática y Física,18
Colegio Nº 03 DE 02 Mariano Moreno,5°8° TT,Literatura,18
Colegio Nº 03 DE 02 Mariano Moreno,5°9° TT,Cs. Soc y Humanidades,17
Colegio Nº 04 DE 09 Nicolás Avellaneda,5°1° TM,Cs. Soc y Humanidades,42
Colegio Nº 04 DE 09 Nicolás Avellaneda,5°1° TT,Cs. Soc y Humanidades,27
Colegio Nº 04 DE 09 Nicolás Avellaneda,5°1° TV/TN,Cs. Soc y Humanidades,
Colegio Nº 04 DE 09 Nicolás Avellaneda,5°2° TM,Cs. Naturales,17
Colegio Nº 04 DE 09 Nicolás Avellaneda,5°2° TT,Cs. Naturales,26
Colegio Nº 04 DE 09 Nicolás Avellaneda,5°2° TV/TN,Cs. Naturales,
Colegio Nº 04 DE 09 Nicolás Avellaneda,5°3° TM,Literatura,20
Colegio Nº 04 DE 09 Nicolás Avellaneda,5°3° TT,Literatura,12
Colegio Nº 04 DE 09 Nicolás Avellaneda,5°4° TM,Cs. Soc y Humanidades,17
Colegio Nº 04 DE 09 Nicolás Avellaneda,5°4° TT,Cs. Soc y Humanidades,20
Colegio Nº 05 DE 02 Bartolomé Mitre,5°1° TM,Cs. Soc y Humanidades,25
Colegio Nº 05 DE 02 Bartolomé Mitre,5°1° TT,Turismo,21
Colegio Nº 05 DE 02 Bartolomé Mitre,5°2° TM,Turismo,20
Colegio Nº 05 DE 02 Bartolomé Mitre,5°2° TT,Cs. Soc y Humanidades,20
Colegio Nº 06 DE 02 Manuel Belgrano,5°1° TM,Cs. Soc y Humanidades,25
Colegio Nº 06 DE 02 Manuel Belgrano,5°1° TT,Cs. Soc y Humanidades,14
Colegio Nº 06 DE 02 Manuel Belgrano,5°2° TM,Ed. Física,35
Colegio Nº 06 DE 02 Manuel Belgrano,5°2° TT,Ed. Física,24
Colegio Nº 06 DE 02 Manuel Belgrano,5°3° TM,Cs. Soc y Humanidades,19
Colegio Nº 07 DE 03 Juan Martín de Pueyrredon,5°1° TM,Cs. Soc y Humanidades,24
Colegio Nº 07 DE 03 Juan Martín de Pueyrredon,5°1° TT,Cs. Soc y Humanidades,20
Colegio Nº 07 DE 03 Juan Martín de Pueyrredon,5°1° TV/TN,Cs. Soc y Humanidades,
Colegio Nº 07 DE 03 Juan Martín de Pueyrredon,5°2° TM,Cs. Naturales,28
Colegio Nº 07 DE 03 Juan Martín de Pueyrredon,5°2° TT,Cs. Soc y Humanidades,19
Colegio Nº 07 DE 03 Juan Martín de Pueyrredon,5°2° TV/TN,Cs. Naturales,
Colegio Nº 07 DE 03 Juan Martín de Pueyrredon,5°3° TM,Cs. Soc y Humanidades,20
Colegio Nº 07 DE 03 Juan Martín de Pueyrredon,5°3° TT,Economía y Administración,17
Colegio Nº 07 DE 03 Juan Martín de Pueyrredon,5°3° TV/TN,Cs. Soc y Humanidades,
Colegio Nº 08 DE 10 Julio Argentino Roca,5°1° TM,Cs. Soc y Humanidades,19
Colegio Nº 08 DE 10 Julio Argentino Roca,5°1° TT,Cs. Soc y Humanidades,17
Colegio Nº 08 DE 10 Julio Argentino Roca,5°2° TM,Cs. Soc y Humanidades,18
Colegio Nº 08 DE 10 Julio Argentino Roca,5°2° TT,Artes Visuales,18
Colegio Nº 08 DE 10 Julio Argentino Roca,5°3° TM,Cs. Soc y Humanidades,18
Colegio Nº 08 DE 10 Julio Argentino Roca,5°3° TT,Cs. Soc y Humanidades,23
Colegio Nº 08 DE 10 Julio Argentino Roca,5°4° TM,Artes Visuales,24
Colegio Nº 08 DE 10 Julio Argentino Roca,5°5° TM,Cs. Soc y Humanidades,23
Colegio Nº 09 DE 12 Justo José De Urquiza,5°1° TM,Cs. Naturales,19
Colegio Nº 09 DE 12 Justo José De Urquiza,5°1° TT,Cs. Soc y Humanidades,18
Colegio Nº 09 DE 12 Justo José De Urquiza,5°1° TV/TN,Cs. Naturales,
Colegio Nº 09 DE 12 Justo José De Urquiza,5°2° TM,Cs. Naturales,21
Colegio Nº 09 DE 12 Justo José De Urquiza,5°2° TT,Cs. Naturales,21
Colegio Nº 09 DE 12 Justo José De Urquiza,5°2° TV/TN,Cs. Soc y Humanidades,
Colegio Nº 09 DE 12 Justo José De Urquiza,5°3° TM,Cs. Soc y Humanidades,14
Colegio Nº 09 DE 12 Justo José De Urquiza,5°3° TV/TN,Artes Visuales,
Colegio Nº 09 DE 12 Justo José De Urquiza,5°4° TM,Artes Visuales,19
Colegio Nº 09 DE 12 Justo José De Urquiza,5°4° TT,Artes Visuales,14
Colegio Nº 10 DE 08 José De San Martín,5°1° TM,Cs. Soc y Humanidades,18
Colegio Nº 10 DE 08 José De San Martín,5°1° TT,Cs. Soc y Humanidades,13
Colegio Nº 10 DE 08 José De San Martín,5°2° TM,Cs. Soc y Humanidades,28
Colegio Nº 10 DE 08 José De San Martín,5°2° TT,Cs. Soc y Humanidades,12
Colegio Nº 10 DE 08 José De San Martín,5°3° TM,Economía y Administración,16
Colegio Nº 10 DE 08 José De San Martín,5°3° TT,Economía y Administración,13
Colegio Nº 11 DE 04 Hipólito Yrigoyen,5°1° TV/TN,Cs. Soc y Humanidades,
Colegio Nº 11 DE 04 Hipólito Yrigoyen,5°2° TV/TN,Cs. Soc y Humanidades,
Colegio Nº 11 DE 04 Hipólito Yrigoyen,5°3° TV/TN,Cs. Soc y Humanidades,
Colegio Nº 11 DE 04 Hipólito Yrigoyen,5°4° TV/TN,Cs. Soc y Humanidades,
Colegio Nº 12 DE 15 Reconquista,5°1° TM,Turismo,16
Colegio Nº 12 DE 15 Reconquista,5°2° TM,Informática,14
Colegio Nº 12 DE 15 Reconquista,5°3° TM,Turismo,13
Colegio Nº 12 DE 15 Reconquista,5°4° TM,Cs. Soc y Humanidades,17
Colegio Nº 13 DE 18 Cnel. Tomás Espora,5°1° TM,Comunicación,14
Colegio Nº 13 DE 18 Cnel. Tomás Espora,5°1° TT,Economía y Administración,14
Colegio Nº 13 DE 18 Cnel. Tomás Espora,5°1° TT,Comunicación,14
Colegio Nº 13 DE 18 Cnel. Tomás Espora,5°2° TM,Comunicación,13
Colegio Nº 13 DE 18 Cnel. Tomás Espora,5°2° TT,Economía y Administración,17
Colegio Nº 13 DE 18 Cnel. Tomás Espora,5°3° TM,Economía y Administración,19
Colegio Nº 13 DE 18 Cnel. Tomás Espora,5°4° TM,Economía y Administración,20
Colegio Nº 13 DE 18 Cnel. Tomás Espora,5°4° TT,Comunicación,17
Colegio Nº 14 DE 02 Juan José Paso,5°1° TV/TN,Cs. Naturales,
Colegio Nº 14 DE 02 Juan José Paso,5°2° TV/TN,Cs. Naturales,
Colegio Nº 14 DE 02 Juan José Paso,5°3° TV/TN,Cs. Soc y Humanidades,
Colegio Nº 14 DE 02 Juan José Paso,5°4° TV/TN,Cs. Soc y Humanidades,
Colegio Nº 15 DE 02 Revolución de Mayo,5°1° TV/TN,Cs. Naturales,
Colegio Nº 15 DE 02 Revolución de Mayo,5°2° TV/TN,Cs. Soc y Humanidades,
Colegio Nº 15 DE 02 Revolución de Mayo,5°3° TV/TN,Cs. Naturales,
Colegio Nº 16 DE 15 Guillermo Rawson,5°1° TV/TN,Cs. Soc y Humanidades,
Colegio Nº 16 DE 15 Guillermo Rawson,5°2° TV/TN,Cs. Naturales,
Colegio Nº 16 DE 15 Guillermo Rawson,PLAN 5810,PLAN 5810/19,
Colegio Nº 17 DE 07 Primera Junta,5°1° TM,Cs. Soc y Humanidades,21
Colegio Nº 17 DE 07 Primera Junta,5°2° TM,Cs. Naturales,22
Colegio Nº 17 DE 07 Primera Junta,5°3° TM,Cs. Soc y Humanidades,23
Colegio Nº 17 DE 07 Primera Junta,5°4° TM,Cs. Naturales,22
Colegio Nº 18 DE 18 Dr. Alberto Larroque,5°1° TM,Economía y Administración,20
Colegio Nº 18 DE 18 Dr. Alberto Larroque,5°1° TT,Cs. Soc y Humanidades,21
Colegio Nº 18 DE 18 Dr. Alberto Larroque,5°2° TM,Cs. Soc y Humanidades,28
Colegio Nº 18 DE 18 Dr. Alberto Larroque,5°2° TT,Economía y Administración,21
Colegio Nº 18 DE 18 Dr. Alberto Larroque,5°3° TM,Economía y Administración,23
Colegio Nº 19 DE 17 Luis Pasteur,5°1° TM,Cs. Naturales,22
Colegio Nº 19 DE 17 Luis Pasteur,5°2° TM,Cs. Soc y Humanidades,18
Colegio Nº 19 DE 17 Luis Pasteur,5°3° TM,Cs. Soc y Humanidades,22
Colegio Nº 19 DE 17 Luis Pasteur,5°4° TT,Cs. Naturales,20
Colegio Nº 19 DE 17 Luis Pasteur,5°5° TT,Cs. Soc y Humanidades,16
Colegio Nº 19 DE 17 Luis Pasteur,5°6° TT,Cs. Soc y Humanidades,20
Esc. de Comercio Nº 01 DE 04 Joaquín V. Gonzalez,5°1° TM,Economía y Administración VIOLETA,23
Esc. de Comercio Nº 01 DE 04 Joaquín V. Gonzalez,5°1° TT,Economía y Administración,33
Esc. de Comercio Nº 01 DE 04 Joaquín V. Gonzalez,5°2° TM,Turismo,51
Esc. de Comercio Nº 01 DE 04 Joaquín V. Gonzalez,5°3° TM,Economía y Administración,23
Esc. de Comercio Nº 01 DE 04 Joaquín V. Gonzalez,5°4° TM,Economía y Administración,21
Esc. de Comercio Nº 01 DE 04 Joaquín V. Gonzalez,5°4° TT,Turismo,41
Esc. de Comercio Nº 01 DE 04 Joaquín V. Gonzalez,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 02 DE 01 Dr. Antonio Bermejo,5°1° TM,Economía y Administración,28
Esc. de Comercio Nº 02 DE 01 Dr. Antonio Bermejo,5°1° TT,Economía y Administración,19
Esc. de Comercio Nº 02 DE 01 Dr. Antonio Bermejo,5°2° TM,Economía y Administración,20
Esc. de Comercio Nº 02 DE 01 Dr. Antonio Bermejo,5°2° TT,Economía y Administración,18
Esc. de Comercio Nº 02 DE 01 Dr. Antonio Bermejo,5°3° TM,Economía y Administración,24
Esc. de Comercio Nº 02 DE 01 Dr. Antonio Bermejo,5°3° TT,Economía y Administración,22
Esc. de Comercio Nº 02 DE 01 Dr. Antonio Bermejo,5°4° TM,Economía y Administración,23
Esc. de Comercio Nº 02 DE 01 Dr. Antonio Bermejo,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,5°1° TM,Economía y Administración,29
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,5°1° TT,Economía y Administración,22
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,5°2° TM,Turismo,28
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,5°2° TT,Turismo,35
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,5°3° TM,Economía y Administración,18
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,5°3° TT,Economía y Administración,23
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,5°4° TM,Turismo,30
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,5°5° TM,Economía y Administración,20
Esc. de Comercio Nº 03 DE 07 Hipólito Vieytes,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 04 DE 04 Baldomero Fernández Moreno,5°1° TT,Economía y Administración,19
Esc. de Comercio Nº 04 DE 04 Baldomero Fernández Moreno,5°2° TT,Economía y Administración,12
Esc. de Comercio Nº 04 DE 04 Baldomero Fernández Moreno,5°3° TT,Economía y Administración,14
Esc. de Comercio Nº 04 DE 04 Baldomero Fernández Moreno,5°4° TT,Economía y Administración,19
Esc. de Comercio Nº 05 DE 03 José De San Martín,5°1° TM,Economía y Administración,17
Esc. de Comercio Nº 05 DE 03 José De San Martín,5°2° TM,Economía y Administración,13
Esc. de Comercio Nº 05 DE 03 José De San Martín,5°3° TM,Economía y Administración,15
Esc. de Comercio Nº 05 DE 03 José De San Martín,5°4° TM,Economía y Administración,15
Esc. de Comercio Nº 05 DE 03 José De San Martín,5°5° TM,Informática,21
Esc. de Comercio Nº 06 DE 13 América,5°1° TM,Economía y Administración,32
Esc. de Comercio Nº 06 DE 13 América,5°2° TT,Economía y Administración,28
Esc. de Comercio Nº 06 DE 13 América,5°3° TT,Economía y Administración,27
Esc. de Comercio Nº 06 DE 13 América,5°4° TM,Economía y Administración,31
Esc. de Comercio Nº 06 DE 13 América,5°5° TM,Economía y Administración,31
Esc. de Comercio Nº 06 DE 13 América,5°6° TT,Economía y Administración,29
Esc. de Comercio Nº 07 DE 10 Manuel Belgrano,5°1° TM,Economía y Administración,25
Esc. de Comercio Nº 07 DE 10 Manuel Belgrano,5°1° TT,Economía y Administración,25
Esc. de Comercio Nº 07 DE 10 Manuel Belgrano,5°2° TM,Economía y Administración,22
Esc. de Comercio Nº 07 DE 10 Manuel Belgrano,5°2° TT,Turismo,13
Esc. de Comercio Nº 07 DE 10 Manuel Belgrano,5°3° TM,Turismo,22
Esc. de Comercio Nº 08 DE 02 Patricias Argentinas,5°1° TT,Economía y Administración,25
Esc. de Comercio Nº 08 DE 02 Patricias Argentinas,5°2° TT,Economía y Administración,23
Esc. de Comercio Nº 08 DE 02 Patricias Argentinas,5°4° TT,Cs. Soc y Humanidades,29
Esc. de Comercio Nº 09 DE 11 José Ingenieros,5°1° TM,Economía y Administración,27
Esc. de Comercio Nº 09 DE 11 José Ingenieros,5°1° TT,Economía y Administración,19
Esc. de Comercio Nº 09 DE 11 José Ingenieros,5°2° TM,Economía y Administración,23
Esc. de Comercio Nº 09 DE 11 José Ingenieros,5°2° TT,Economía y Administración,22
Esc. de Comercio Nº 09 DE 11 José Ingenieros,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 10 DE 01 Islas Malvinas,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 11 DE 17 Dr. José Peralta,5°1° TM,Turismo,28
Esc. de Comercio Nº 11 DE 17 Dr. José Peralta,5°1° TT,Economía y Administración,23
Esc. de Comercio Nº 11 DE 17 Dr. José Peralta,5°2° TM,Economía y Administración,28
Esc. de Comercio Nº 11 DE 17 Dr. José Peralta,5°2° TT,Turismo,21
Esc. de Comercio Nº 11 DE 17 Dr. José Peralta,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°1° TM,Economía y Administración,22
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°1° TT,Economía y Administración,29
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°2° TM,Economía y Administración,31
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°2° TT,Economía y Administración,24
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°3° TM,Economía y Administración,29
Esc. de Comercio Nº 12 DE 21 Juan XXIII,5°3° TT,Economía y Administración,28
Esc. de Comercio Nº 12 DE 21 Juan XXIII,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°1° TM,Economía y Administración,20
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°1° TT,Economía y Administración,20
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°2° TM,Economía y Administración,17
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°2° TT,Economía y Administración,18
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°3° TM,Cs. Soc y Humanidades,23
Esc. de Comercio Nº 15 DE 15 Dra. Cecilia Grierson,5°3° TT,Cs. Soc y Humanidades,10
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°1° TM,Economía y Administración,24
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°1° TT,Economía y Administración,24
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°2° TM,Economía y Administración,26
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°2° TT,Economía y Administración,24
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°3° TM,Economía y Administración,5
Esc. de Comercio Nº 16 DE 07 Gabriela Mistral,5°3° TT,Economía y Administración,2
Esc. de Comercio Nº 17 DE 07 Santa María De Los Buenos Aires,5°1° TM,Economía y Administración,27
Esc. de Comercio Nº 17 DE 07 Santa María De Los Buenos Aires,5°1° TT,Economía y Administración,22
Esc. de Comercio Nº 17 DE 07 Santa María De Los Buenos Aires,5°1° TV/TN,Economía y Administración,
Esc. de Comercio Nº 17 DE 07 Santa María De Los Buenos Aires,5°2° TM,Economía y Administración,26
Esc. de Comercio Nº 17 DE 07 Santa María De Los Buenos Aires,5°2° TT,Economía y Administración,19
Esc. de Comercio Nº 18 DE 05 Reino de Suecia,5°1° TM,Economía y Administración,20
Esc. de Comercio Nº 18 DE 05 Reino de Suecia,5°1° TT,Economía y Administración,23
Esc. de Comercio Nº 18 DE 05 Reino de Suecia,5°2° TM,Economía y Administración,23
Esc. de Comercio Nº 18 DE 05 Reino de Suecia,5°2° TT,Economía y Administración,24
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°1° TM,Cs. Soc y Humanidades,23
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°2° TM,Economía y Administración,27
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°2° TT,Economía y Administración,18
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°3° TM,Cs. Soc y Humanidades,27
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°3° TT,Economía y Administración,15
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°4° TM,Economía y Administración,25
Esc. de Comercio Nº 19 DE 08 Juan Montalvo,5°4° TT,Cs. Soc y Humanidades,27
Esc. de Comercio Nº 20 DE 14 Dr. Juan Agustín García,5°1° TM,Economía y Administración,19
Esc. de Comercio Nº 20 DE 14 Dr. Juan Agustín García,5°2° TT,Economía y Administración,17
Esc. de Comercio Nº 20 DE 14 Dr. Juan Agustín García,5°3° TM,Economía y Administración,18
Esc. de Comercio Nº 21 DE 11 Cap. de Navío Hipólito Bouchard,5°1° TM,Economía y Administración,16
Esc. de Comercio Nº 21 DE 11 Cap. de Navío Hipólito Bouchard,5°1° TT,Economía y Administración,16
Esc. de Comercio Nº 21 DE 11 Cap. de Navío Hipólito Bouchard,5°2° TM,Economía y Administración,22
Esc. de Comercio Nº 21 DE 11 Cap. de Navío Hipólito Bouchard,5°2° TT,Economía y Administración,14
Esc. de Comercio Nº 21 DE 11 Cap. de Navío Hipólito Bouchard,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 22 DE 06 Gustavo Adolfo Martinez Zuviría,5°1° TT,Economía y Administración,21
Esc. de Comercio Nº 22 DE 06 Gustavo Adolfo Martinez Zuviría,5°2° TM,Informática,18
Esc. de Comercio Nº 22 DE 06 Gustavo Adolfo Martinez Zuviría,5°3° TM,Economía y Administración,23
Esc. de Comercio Nº 22 DE 06 Gustavo Adolfo Martinez Zuviría,5°4° TT,Informática,22
Esc. de Comercio Nº 23 DE 07 Dr. Luis Agote,5°1° TT,Economía y Administración,27
Esc. de Comercio Nº 23 DE 07 Dr. Luis Agote,5°2° TT,Economía y Administración,23
Esc. de Comercio Nº 23 DE 07 Dr. Luis Agote,5°3° TT,Artes Visuales,25
Esc. de Comercio Nº 24 DE 14 Dr. Dalmacio Vélez Sarsfield,5°1° TM,Economía y Administración,18
Esc. de Comercio Nº 24 DE 14 Dr. Dalmacio Vélez Sarsfield,5°1° TT,Economía y Administración,18
Esc. de Comercio Nº 24 DE 14 Dr. Dalmacio Vélez Sarsfield,5°2° TM,Economía y Administración,18
Esc. de Comercio Nº 25 DE 02 Santiago de Liniers,5°1° TV/TN,Economía y Administración,
Esc. de Comercio Nº 25 DE 02 Santiago de Liniers,5°2° TV/TN,Economía y Administración,
Esc. de Comercio Nº 25 DE 02 Santiago de Liniers,5°3° TV/TN,Cs. Soc y Humanidades,
Esc. de Comercio Nº 26 DE 01 Enrique de Vedia,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 27 DE 04 Antártida Argentina,5°1° TV/TN,Economía y Administración,
Esc. de Comercio Nº 27 DE 04 Antártida Argentina,5°2° TV/TN,Economía y Administración,
Esc. de Comercio Nº 28 DE 15 Abraham Lincoln,5°1° TV/TN,Economía y Administración,
Esc. de Comercio Nº 28 DE 15 Abraham Lincoln,5°2° TV/TN,Economía y Administración,
Esc. de Comercio Nº 29 DE 07 Marina Mercante Argentina,PLAN 5810,PLAN 5810/19,
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°1° TM,Economía y Administración,22
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°1° TT,Economía y Administración,14
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°2° TM,Economía y Administración,23
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°2° TT,Economía y Administración,17
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°3° TM,Economía y Administración,21
Esc. de Comercio Nº 30 DE 18 Dr. Esteban Agustín Gascon,5°3° TT,Economía y Administración,15
Esc. de Comercio Nº 31 DE 09 Naciones Unidas,5°1° TM,Economía y Administración,28
Esc. de Comercio Nº 31 DE 09 Naciones Unidas,5°1° TT,Economía y Administración,22
Esc. de Comercio Nº 31 DE 09 Naciones Unidas,5°2° TM,Informática,29
Esc. de Comercio Nº 31 DE 09 Naciones Unidas,5°2° TT,Informática,12
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°1° TM,Economía y Administración,26
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°2° TM,Economía y Administración,24
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°3° TT,Economía y Administración,21
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°4° TT,Economía y Administración,16
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°5° TM,Economía y Administración,25
Esc. de Comercio Nº 32 DE 13 José León Suarez,5°6° TT,Economía y Administración,20
